accident_index,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,hour_of_day,road_type,speed_limit,junction_control,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,vehicle_type
ACC019756,3,2,1,6,22,2,20,2,1,1,1,1,9
ACC019757,3,2,2,5,6,1,30,0,6,2,3,2,3
ACC019758,3,4,2,4,7,1,20,0,4,2,2,1,1
ACC019759,1,2,2,3,9,1,60,1,1,1,1,2,5
ACC019760,3,2,1,1,12,7,30,0,1,3,2,1,1
ACC019761,3,1,1,6,14,3,30,0,4,8,5,2,9
ACC019762,3,4,1,2,20,2,30,0,1,6,1,1,2
ACC019763,3,1,1,6,14,3,30,4,4,1,5,2,4
ACC019764,3,2,1,1,19,6,70,0,1,1,2,1,1
ACC019765,3,2,2,6,8,3,30,0,1,1,1,1,3
ACC019766,3,3,1,6,8,1,30,0,4,1,2,1,2
ACC019767,3,3,2,5,13,3,70,2,7,1,1,2,3
ACC019768,3,1,1,6,17,2,30,0,4,4,1,1,1
ACC019769,3,2,1,4,7,9,70,1,1,1,2,1,3
ACC019770,2,2,1,7,19,1,70,1,5,5,4,1,1
ACC019771,3,3,1,1,23,9,20,1,1,6,1,1,1
ACC019772,3,3,2,7,10,9,30,1,4,1,1,2,9
ACC019773,3,2,1,2,10,6,40,0,1,9,2,1,1
ACC019774,3,3,3,2,7,2,30,2,1,3,1,2,5
ACC019775,3,2,2,3,10,12,70,1,1,2,2,1,1
ACC019776,3,1,3,1,12,9,30,0,1,1,1,1,1
ACC019777,3,1,4,1,10,2,50,1,4,2,2,2,5
ACC019778,3,2,1,1,1,2,70,0,1,1,1,1,1
ACC019779,3,1,1,2,0,12,30,4,1,2,1,1,5
ACC019780,2,3,4,5,16,2,40,2,6,1,2,2,3
ACC019781,2,2,1,6,2,1,70,2,4,2,2,2,1
ACC019782,2,2,1,4,15,2,30,0,1,1,1,1,1
ACC019783,3,3,1,2,12,12,30,0,4,1,2,1,1
ACC019784,3,1,1,3,19,1,30,0,1,2,1,2,11
ACC019785,3,2,1,7,8,3,60,1,5,2,1,1,1
ACC019786,3,2,1,2,14,2,60,0,4,1,1,1,2
ACC019787,3,2,1,1,8,9,30,2,1,1,1,1,1
ACC019788,3,2,2,7,11,12,40,2,1,6,1,1,3
ACC019789,1,3,2,7,6,2,30,0,1,2,3,2,1
ACC019790,2,4,2,2,14,3,60,2,1,1,5,2,1
ACC019791,3,2,1,1,13,2,30,1,5,2,1,1,1
ACC019792,3,3,1,3,4,7,30,0,1,2,4,1,1
ACC019793,3,2,1,7,9,9,70,0,1,1,1,2,1
ACC019794,3,4,1,3,6,1,70,1,6,2,1,2,1
ACC019795,3,1,2,6,17,2,60,0,6,4,1,2,1
ACC019796,2,1,1,4,7,12,40,1,4,3,2,1,3
ACC019797,3,3,1,2,13,1,30,2,1,1,2,1,1
ACC019798,2,1,1,5,9,2,60,1,1,5,2,2,2
ACC019799,3,2,2,6,7,2,40,2,4,1,2,2,3
ACC019800,2,3,5,6,2,12,30,2,1,7,5,2,5
ACC019801,3,2,1,3,18,1,60,0,6,1,2,1,1
ACC019802,2,2,2,7,16,2,70,0,5,2,5,2,11
ACC019803,3,1,1,1,23,2,30,4,6,2,2,2,1
ACC019804,3,1,3,1,16,12,70,2,1,1,1,1,5
ACC019805,2,2,1,3,18,1,70,2,1,4,2,2,1
ACC019806,2,2,1,4,21,12,30,1,1,2,1,2,9
ACC019807,3,1,2,2,16,12,60,1,1,1,1,1,1
ACC019808,3,3,1,4,11,2,30,0,1,2,1,2,1
ACC019809,3,1,1,1,15,2,60,1,4,2,3,2,1
ACC019810,3,3,1,2,14,2,30,0,6,1,2,1,9
ACC019811,2,2,2,7,19,2,60,0,7,9,2,2,11
ACC019812,3,2,2,1,6,2,30,1,6,6,2,2,9
ACC019813,3,2,1,7,7,1,40,0,1,1,1,1,1
ACC019814,3,2,1,6,16,9,30,0,1,2,1,1,3
ACC019815,3,2,1,7,7,1,30,1,4,1,1,1,4
ACC019816,3,2,1,3,13,6,20,0,1,4,2,2,1
ACC019817,3,2,3,7,17,2,50,2,1,7,1,2,11
ACC019818,3,2,2,2,8,2,50,1,1,1,4,1,3
ACC019819,3,1,1,4,17,12,60,4,5,4,1,1,3
ACC019820,2,2,1,2,13,1,60,1,1,2,1,1,1
ACC019821,3,2,1,4,0,2,70,2,1,1,1,1,1
ACC019822,3,3,1,2,16,3,50,1,1,7,2,2,1
ACC019823,3,2,2,1,6,3,40,2,1,2,2,1,1
ACC019824,3,2,1,6,13,12,30,4,1,2,2,1,5
ACC019825,3,2,1,7,19,7,30,1,1,2,2,1,2
ACC019826,3,2,2,6,16,1,40,2,1,1,1,2,1
ACC019827,3,2,2,7,21,2,70,4,4,1,1,1,2
ACC019828,3,2,2,6,8,2,40,1,6,7,1,1,9
ACC019829,3,2,1,6,7,3,70,4,4,2,1,1,1
ACC019830,1,4,1,3,20,12,30,1,4,4,1,2,3
ACC019831,3,2,3,2,8,9,50,0,1,1,2,1,3
ACC019832,3,1,1,1,5,12,60,0,5,2,1,2,1
ACC019833,3,2,2,4,19,2,30,0,1,8,3,1,11
ACC019834,3,2,2,1,11,12,30,0,1,1,1,1,1
ACC019835,2,2,1,3,20,1,70,1,4,1,2,2,9
ACC019836,3,1,1,5,20,2,30,0,1,2,3,1,1
ACC019837,3,2,1,1,15,2,40,0,6,1,1,2,9
ACC019838,3,2,1,6,18,6,30,2,6,1,3,2,1
ACC019839,3,2,2,7,13,1,40,0,4,5,1,1,1
ACC019840,3,2,1,2,13,2,70,4,1,9,3,1,1
ACC019841,3,2,1,1,13,9,60,0,1,2,2,2,5
ACC019842,2,2,2,3,18,2,30,0,1,4,2,1,1
ACC019843,3,3,1,2,19,9,50,2,1,5,1,2,5
ACC019844,3,2,1,6,7,1,30,1,1,3,4,2,1
ACC019845,3,2,2,6,19,12,60,1,4,1,1,1,11
ACC019846,3,2,2,3,16,9,30,4,7,1,1,1,1
ACC019847,3,2,1,6,16,7,30,2,4,1,2,1,1
ACC019848,3,4,2,1,11,2,50,1,6,1,3,2,3
ACC019849,3,1,4,3,20,12,50,0,1,1,4,2,1
ACC019850,3,2,2,1,7,12,40,0,1,1,2,1,9
ACC019851,3,2,1,3,17,12,50,4,4,1,1,1,1
ACC019852,3,2,1,2,3,2,30,2,4,1,2,2,9
ACC019853,3,1,1,2,13,3,60,1,1,2,1,1,1
ACC019854,3,2,1,1,7,7,50,0,7,1,1,2,2
ACC019855,2,3,1,2,18,2,30,1,1,4,2,1,11
ACC019856,3,2,1,6,12,12,30,1,1,1,3,1,5
ACC019857,2,2,1,6,16,2,70,4,4,5,3,1,5
ACC019858,2,4,2,2,7,12,30,0,6,7,1,1,5
ACC019859,3,2,3,3,0,2,30,0,1,3,1,2,1
ACC019860,3,4,2,5,7,9,50,0,4,3,1,2,1
ACC019861,3,2,1,3,6,2,30,0,6,7,2,2,1
ACC019862,3,2,2,2,13,1,40,2,1,1,1,1,1
ACC019863,2,2,3,2,5,2,30,0,4,9,2,1,11
ACC019864,3,2,5,2,15,3,30,4,7,4,2,2,1
ACC019865,3,2,2,7,2,2,40,1,1,3,3,1,1
ACC019866,3,2,1,4,5,2,30,2,6,1,3,1,5
ACC019867,3,1,1,4,17,2,30,1,1,2,1,2,3
ACC019868,3,2,2,3,4,9,30,1,4,2,1,1,1
ACC019869,3,1,1,6,16,3,30,0,4,2,1,2,3
ACC019870,3,3,1,7,18,2,60,1,7,3,2,1,5
ACC019871,3,1,2,3,4,9,50,0,5,1,2,1,3
ACC019872,3,3,1,1,14,1,20,0,1,1,1,1,1
ACC019873,3,4,1,3,20,7,20,0,4,1,1,1,11
ACC019874,2,2,2,7,9,12,40,2,1,1,1,1,1
ACC019875,3,2,1,7,16,2,40,0,1,1,1,1,3
ACC019876,3,3,2,3,9,2,40,0,6,1,2,1,9
ACC019877,2,2,4,4,8,7,60,0,1,1,1,2,9
ACC019878,2,2,2,4,18,12,70,2,1,2,3,2,11
ACC019879,3,2,2,5,19,3,70,1,6,1,1,2,1
ACC019880,3,3,1,5,13,1,40,1,1,7,2,1,1
ACC019881,3,2,2,4,7,2,30,0,1,4,2,1,11
ACC019882,3,2,1,5,20,1,70,4,5,3,1,1,3
ACC019883,3,2,2,4,5,1,50,0,1,1,2,2,9
ACC019884,3,2,2,2,14,3,30,1,4,2,1,1,1
ACC019885,3,2,1,1,17,2,70,0,1,2,1,2,3
ACC019886,3,1,1,5,6,1,60,1,1,9,2,1,9
ACC019887,3,1,1,5,14,6,30,1,5,3,1,1,11
ACC019888,2,2,3,3,12,9,50,2,5,2,1,2,3
ACC019889,2,2,3,2,17,7,70,4,4,5,2,1,1
ACC019890,3,2,2,3,10,2,40,4,1,1,1,1,1
ACC019891,2,1,5,3,8,9,70,4,4,1,2,2,1
ACC019892,3,1,3,1,8,2,40,4,4,2,5,1,9
ACC019893,2,2,1,6,11,2,50,4,6,1,1,1,9
ACC019894,2,2,2,7,20,9,70,0,6,1,2,2,1
ACC019895,3,2,2,2,6,1,30,0,6,3,1,2,5
ACC019896,3,3,1,5,12,1,30,0,4,1,2,1,1
ACC019897,3,2,1,2,18,2,50,0,5,2,1,1,1
ACC019898,3,2,1,6,8,1,30,2,6,6,3,1,11
ACC019899,2,2,1,2,22,7,70,0,1,1,1,2,5
ACC019900,3,2,4,2,8,7,30,0,1,1,1,1,9
ACC019901,2,3,4,4,9,9,50,0,1,1,2,1,3
ACC019902,2,2,1,7,8,1,70,0,1,1,2,2,2
ACC019903,3,1,1,2,13,12,60,0,1,1,1,1,1
ACC019904,1,2,2,7,13,6,70,2,1,1,1,1,9
ACC019905,2,2,1,5,13,2,50,1,5,1,2,1,11
ACC019906,2,3,2,3,4,2,30,0,1,1,1,2,1
ACC019907,3,4,1,3,17,2,30,0,1,3,1,1,9
ACC019908,3,2,2,2,7,12,70,0,1,5,2,2,3
ACC019909,3,2,2,2,21,1,30,1,6,4,1,1,1
ACC019910,3,2,2,4,7,1,30,2,5,2,2,2,3
ACC019911,3,1,1,4,7,1,50,2,1,1,1,2,9
ACC019912,3,2,2,4,7,1,20,1,1,3,1,1,1
ACC019913,3,2,1,7,5,9,60,0,6,1,2,1,5
ACC019914,3,1,1,6,20,3,50,2,1,1,1,2,1
ACC019915,3,2,2,2,18,1,40,0,6,5,2,1,9
ACC019916,2,2,2,3,12,2,50,0,1,1,1,2,3
ACC019917,3,2,4,4,9,6,30,1,4,1,1,2,1
ACC019918,2,1,1,3,12,12,70,4,1,5,1,2,11
ACC019919,3,2,5,2,12,2,30,2,1,6,2,1,1
ACC019920,3,3,1,6,8,1,20,1,1,1,1,1,9
ACC019921,3,3,1,6,16,12,30,1,4,1,1,1,1
ACC019922,2,3,4,4,7,1,60,0,6,2,3,1,5
ACC019923,3,1,1,1,7,2,30,1,1,3,2,2,1
ACC019924,3,3,1,4,12,9,60,4,5,1,2,2,9
ACC019925,1,2,2,4,17,7,30,0,1,2,1,1,1
ACC019926,3,2,1,4,12,12,50,0,4,7,2,1,1
ACC019927,3,1,1,2,8,2,30,1,1,1,2,1,9
ACC019928,1,1,1,1,19,12,30,1,6,6,1,1,1
ACC019929,2,2,1,6,6,2,60,0,6,7,1,2,9
ACC019930,3,2,1,3,15,2,60,0,6,1,1,1,1
ACC019931,3,2,1,5,17,9,30,0,1,4,4,2,11
ACC019932,3,2,3,5,10,7,60,2,1,1,2,1,1
ACC019933,3,2,2,5,14,2,40,1,1,3,2,2,1
ACC019934,3,1,2,5,5,9,30,2,4,4,1,2,5
ACC019935,3,2,1,3,17,1,70,2,4,1,5,1,2
ACC019936,2,4,1,6,17,1,30,2,4,3,1,1,1
ACC019937,3,2,2,1,9,1,30,1,1,4,1,2,1
ACC019938,3,2,3,2,11,2,60,4,1,1,3,1,5
ACC019939,3,2,1,7,5,2,30,2,1,1,2,1,1
ACC019940,3,3,3,2,9,2,60,2,4,1,1,2,11
ACC019941,3,2,2,5,15,1,50,1,1,2,1,1,11
ACC019942,1,2,1,6,11,6,60,2,4,8,5,2,11
ACC019943,3,3,2,1,20,2,40,0,5,4,2,1,5
ACC019944,3,3,1,1,14,1,40,4,1,1,1,2,1
ACC019945,3,2,1,4,3,2,50,0,4,2,1,1,9
ACC019946,3,1,1,7,11,7,20,4,1,1,1,1,9
ACC019947,3,1,1,1,0,1,30,0,1,1,2,1,3
ACC019948,3,2,1,6,11,3,70,0,1,2,1,1,1
ACC019949,3,1,1,4,18,2,30,1,5,2,5,1,1
ACC019950,3,2,3,6,2,9,30,1,1,2,1,1,1
ACC019951,3,3,2,3,10,7,30,1,4,7,1,2,1
ACC019952,3,4,2,3,20,2,60,1,1,2,1,2,1
ACC019953,3,2,1,1,6,9,70,0,4,2,2,1,9
ACC019954,3,2,2,6,22,2,30,0,1,1,2,2,11
ACC019955,2,3,1,1,10,2,60,1,1,9,1,2,1
ACC019956,2,1,3,1,1,7,70,2,1,4,1,2,3
ACC019957,2,3,1,4,17,12,40,0,1,5,1,1,1
ACC019958,3,2,2,4,20,2,70,0,5,1,1,1,4
ACC019959,3,2,2,6,18,2,30,1,1,2,1,1,1
ACC019960,3,2,1,3,8,12,70,2,5,2,4,1,1
ACC019961,3,3,1,3,10,1,30,1,4,1,3,1,11
ACC019962,2,2,1,3,17,2,60,2,4,2,1,1,2
ACC019963,3,4,1,2,15,1,70,0,4,6,1,2,3
ACC019964,3,2,1,2,9,2,30,1,1,1,5,1,3
ACC019965,3,2,2,2,7,2,40,1,1,1,1,1,1
ACC019966,3,2,2,4,14,6,30,1,7,3,1,2,9
ACC019967,3,1,2,3,10,2,70,4,1,1,1,1,1
ACC019968,3,2,1,5,20,3,30,0,1,2,1,1,1
ACC019969,3,4,3,6,11,2,70,1,1,2,2,2,2
ACC019970,3,2,2,4,16,3,60,0,1,1,1,1,1
ACC019971,3,2,5,3,12,1,50,0,1,4,1,2,1
ACC019972,3,4,2,2,17,12,30,1,5,2,2,1,1
ACC019973,3,2,1,5,20,6,50,2,7,5,5,1,1
ACC019974,2,2,1,6,7,1,70,1,6,4,1,1,1
ACC019975,3,2,2,6,8,7,30,4,1,5,3,1,9
ACC019976,2,2,3,2,20,3,40,2,1,1,3,1,1
ACC019977,3,2,1,3,11,2,30,1,4,1,1,1,1
ACC019978,2,2,2,4,9,3,60,2,1,1,1,2,1
ACC019979,1,2,1,3,14,6,30,1,1,1,2,2,1
ACC019980,2,2,2,1,12,2,30,4,4,5,4,1,1
ACC019981,3,2,1,1,16,12,30,0,4,2,3,1,1
ACC019982,3,2,1,6,9,2,30,4,4,5,1,1,5
ACC019983,2,2,1,4,13,1,60,1,5,1,1,1,1
ACC019984,2,1,2,5,7,2,30,0,1,1,2,1,1
ACC019985,3,3,1,6,14,1,30,0,1,6,1,1,1
ACC019986,2,4,2,3,7,2,60,0,4,1,3,2,1
ACC019987,2,2,1,1,19,3,60,2,5,4,2,2,11
ACC019988,3,2,2,2,4,9,70,4,1,1,1,1,1
ACC019989,3,2,2,4,14,1,30,0,1,7,1,2,1
ACC019990,3,1,1,2,12,2,30,0,1,2,2,2,5
ACC019991,3,4,1,3,10,1,70,4,1,4,1,1,1
ACC019992,3,3,2,1,6,3,20,4,1,1,4,2,5
ACC019993,3,2,2,2,16,7,30,4,4,2,1,1,9
ACC019994,3,2,1,2,11,2,30,0,1,6,3,2,3
ACC019995,3,2,1,5,22,1,40,0,4,5,2,2,1
ACC019996,3,2,2,3,8,9,50,1,1,1,2,1,3
ACC019997,3,2,1,7,18,12,70,1,5,1,2,2,9
ACC019998,3,3,1,3,8,2,30,2,1,1,1,1,4
ACC019999,3,2,2,6,12,2,60,4,1,1,1,2,9
ACC020000,2,4,2,7,21,2,60,1,1,3,2,1,1
ACC020001,3,3,1,7,12,2,60,2,5,1,2,1,9
ACC020002,3,2,1,5,22,12,50,0,1,1,1,2,3
ACC020003,1,2,1,5,6,3,30,1,6,2,1,1,2
ACC020004,3,2,2,6,16,9,70,0,1,2,1,1,3
ACC020005,2,2,3,5,16,9,60,0,1,3,2,1,3
ACC020006,2,1,2,1,6,2,30,2,1,8,3,1,1
ACC020007,3,2,2,7,19,1,70,0,4,1,2,2,5
ACC020008,3,2,1,7,19,1,70,0,4,3,1,1,9
ACC020009,3,3,2,7,6,2,20,0,4,1,2,2,2
ACC020010,3,1,3,7,9,2,30,2,1,1,1,1,9
ACC020011,3,4,2,2,6,2,30,1,1,1,3,1,11
ACC020012,2,2,2,6,14,2,40,0,4,1,1,2,1
ACC020013,3,3,2,4,13,1,40,0,7,1,1,2,3
ACC020014,1,3,1,6,15,3,40,1,1,1,1,1,3
ACC020015,3,2,1,3,11,2,60,2,1,6,2,1,3
ACC020016,3,2,2,6,16,7,50,0,1,3,2,1,9
ACC020017,3,3,3,5,2,1,40,0,5,8,1,1,1
ACC020018,3,2,1,2,8,1,30,0,4,2,2,1,11
ACC020019,3,2,1,2,8,12,60,1,6,1,1,1,1
ACC020020,3,2,1,5,19,7,40,1,1,1,2,2,1
ACC020021,3,2,1,7,10,2,30,4,4,1,1,1,9
ACC020022,3,2,3,6,5,1,20,1,1,1,2,1,11
ACC020023,3,3,1,5,13,7,60,2,5,2,4,1,11
ACC020024,3,2,1,1,1,2,50,1,1,2,1,1,9
ACC020025,3,2,2,7,9,2,70,1,1,1,1,2,1
ACC020026,3,1,1,1,7,9,30,0,4,1,1,1,1
ACC020027,3,2,2,7,14,1,70,1,1,1,4,1,1
ACC020028,3,2,1,1,14,2,30,0,1,1,1,2,1
ACC020029,2,1,3,7,8,7,20,1,1,1,1,1,1
ACC020030,3,4,1,5,8,7,30,0,4,4,2,1,3
ACC020031,3,2,1,3,12,1,70,4,1,1,2,1,3
ACC020032,3,2,3,7,16,12,70,1,1,3,3,2,11
ACC020033,3,2,1,1,16,7,30,0,4,1,2,1,5
ACC020034,2,3,1,2,17,1,70,4,1,1,5,2,1
ACC020035,2,2,2,1,17,2,70,0,1,4,1,1,3
ACC020036,3,2,1,5,9,9,30,2,1,2,1,1,3
ACC020037,1,1,3,5,12,1,30,1,1,1,4,1,9
ACC020038,3,1,1,3,7,1,30,1,1,6,5,2,9
ACC020039,3,4,4,5,21,2,30,0,1,1,1,1,11
ACC020040,3,2,1,1,15,9,60,1,6,1,1,2,3
ACC020041,3,3,2,2,16,2,20,0,6,4,1,2,1
ACC020042,3,1,1,4,13,3,30,2,1,3,2,1,11
ACC020043,3,2,4,3,13,1,30,1,5,1,2,2,3
ACC020044,2,1,1,7,15,1,60,0,1,1,1,1,1
ACC020045,2,2,1,3,16,7,20,1,5,5,1,1,3
ACC020046,2,2,2,5,15,1,30,1,1,1,1,1,4
ACC020047,3,1,1,7,20,2,60,0,1,1,1,1,9
ACC020048,2,1,1,3,17,6,60,1,1,2,1,1,11
ACC020049,3,2,2,4,16,12,60,0,6,6,1,1,3
ACC020050,3,2,1,5,21,2,30,0,1,1,1,1,1
ACC020051,3,1,5,2,1,1,30,1,1,4,1,2,1
ACC020052,2,2,1,1,18,9,70,0,4,2,1,1,1
ACC020053,3,2,1,5,6,1,20,2,1,1,3,1,5
ACC020054,3,2,1,2,7,1,30,0,1,3,2,1,11
ACC020055,2,3,2,4,13,1,30,1,1,8,2,2,1
ACC020056,2,1,1,6,19,12,60,1,1,1,2,1,1
ACC020057,3,2,4,1,17,2,30,0,5,1,2,2,9
ACC020058,3,1,1,5,13,2,50,1,1,6,1,1,1
ACC020059,3,3,1,5,12,1,30,0,1,2,1,1,9
ACC020060,3,1,2,4,15,9,70,2,4,1,5,1,11
ACC020061,3,2,2,1,7,2,50,0,4,2,1,1,11
ACC020062,2,1,1,5,17,9,30,1,1,3,1,2,2
ACC020063,2,2,1,1,18,7,30,0,1,4,1,1,9
ACC020064,3,1,2,5,20,1,30,4,4,6,3,2,9
ACC020065,2,3,1,7,6,7,30,4,4,1,1,2,1
ACC020066,3,2,1,1,8,2,60,0,5,1,1,1,5
ACC020067,2,3,2,3,20,2,30,2,1,2,2,2,1
ACC020068,2,2,1,3,9,2,60,4,1,1,5,2,1
ACC020069,3,1,1,1,9,3,30,2,1,2,1,2,5
ACC020070,2,2,1,5,10,6,30,1,1,1,1,2,11
ACC020071,3,2,3,7,8,1,30,1,1,1,5,2,11
ACC020072,2,2,2,7,13,2,70,2,7,2,1,2,11
ACC020073,3,2,1,1,16,3,70,0,1,2,1,1,5
ACC020074,3,2,1,4,11,1,60,2,6,4,1,1,1
ACC020075,3,4,1,6,13,1,50,0,5,2,2,2,5
ACC020076,2,1,2,5,14,3,30,0,4,1,1,1,5
ACC020077,1,2,4,3,8,12,30,2,1,1,2,1,1
ACC020078,2,2,5,6,8,3,50,0,1,4,2,1,11
ACC020079,3,2,1,2,8,2,30,4,1,1,2,2,9
ACC020080,3,2,3,7,22,1,60,1,1,2,2,1,5
ACC020081,3,4,4,5,4,1,50,2,4,2,5,1,1
ACC020082,2,2,2,5,12,2,30,1,1,1,2,2,1
ACC020083,3,1,1,5,4,9,60,0,5,4,1,1,1
ACC020084,3,1,2,4,5,3,30,2,1,1,1,1,2
ACC020085,3,2,1,3,13,7,50,0,5,2,2,1,5
ACC020086,2,2,3,6,12,7,60,2,4,1,2,2,1
ACC020087,3,2,1,5,18,3,60,0,1,1,2,1,9
ACC020088,3,2,2,3,15,1,50,0,1,2,4,2,5
ACC020089,1,3,3,7,10,7,60,4,1,2,1,2,1
ACC020090,2,3,4,5,8,7,30,0,1,3,1,2,2
ACC020091,2,1,2,1,14,2,60,2,1,3,5,2,1
ACC020092,3,2,2,3,14,9,30,0,6,3,1,1,3
ACC020093,3,3,1,6,18,9,50,1,1,1,1,2,1
ACC020094,3,3,2,2,17,7,60,0,7,2,2,1,1
ACC020095,3,2,1,4,18,1,30,0,4,2,2,2,9
ACC020096,3,1,1,2,7,9,50,0,5,1,2,2,9
ACC020097,3,2,1,1,20,9,30,0,1,2,5,1,11
ACC020098,3,2,2,7,12,9,40,1,7,7,1,1,1
ACC020099,3,3,2,5,9,12,30,1,1,1,1,1,5
ACC020100,2,1,1,5,2,9,70,4,1,6,4,1,1
ACC020101,3,3,2,4,13,7,30,1,4,1,1,1,1
ACC020102,3,2,2,1,15,7,70,2,1,1,2,2,9
ACC020103,2,1,3,5,11,1,30,2,5,1,1,2,1
ACC020104,3,3,1,5,8,1,50,0,5,2,3,2,5
ACC020105,3,2,2,6,22,12,30,0,1,1,4,1,11
ACC020106,3,2,1,6,17,1,60,4,4,5,1,1,3
ACC020107,2,2,2,3,10,3,70,0,4,4,1,1,1
ACC020108,3,2,1,6,6,9,40,4,6,2,4,1,11
ACC020109,3,2,1,1,5,3,70,0,1,2,2,2,1
ACC020110,2,2,1,1,21,9,70,0,6,7,1,1,2
ACC020111,2,2,1,1,17,12,30,4,1,5,1,1,1
ACC020112,2,2,1,4,17,2,70,1,6,2,1,1,3
ACC020113,3,1,4,2,12,3,30,0,6,3,3,1,1
ACC020114,3,2,1,5,14,1,60,1,1,2,1,2,1
ACC020115,3,1,1,1,7,2,60,2,1,2,2,2,1
ACC020116,3,2,1,4,15,9,30,2,1,1,1,2,9
ACC020117,3,2,2,7,12,1,50,0,5,2,1,2,2
ACC020118,3,2,1,4,11,7,40,1,1,1,2,1,1
ACC020119,3,1,2,2,8,1,60,0,4,1,1,2,9
ACC020120,3,2,2,2,18,9,30,0,4,2,1,1,2
ACC020121,1,2,1,5,13,2,30,1,4,7,2,2,3
ACC020122,2,2,1,3,8,12,70,1,1,8,1,2,1
ACC020123,2,1,1,6,21,12,60,1,1,2,2,2,9
ACC020124,2,1,1,5,14,1,60,0,1,2,2,2,2
ACC020125,2,2,1,3,13,2,60,1,4,1,2,2,1
ACC020126,3,1,1,6,9,2,40,0,1,2,1,1,1
ACC020127,3,1,3,2,18,2,30,1,1,1,1,1,9
ACC020128,3,2,1,1,17,2,30,1,1,1,2,1,1
ACC020129,3,2,2,2,8,2,50,4,4,2,4,2,2
ACC020130,3,2,1,6,17,3,60,0,1,1,2,2,1
ACC020131,3,2,2,5,19,2,60,0,1,1,2,2,1
ACC020132,3,1,2,6,19,7,40,0,4,5,1,1,1
ACC020133,2,1,1,4,19,12,60,0,4,1,1,1,11
ACC020134,2,2,2,1,0,2,60,0,1,1,3,1,9
ACC020135,3,2,1,3,18,3,60,2,4,1,2,1,1
ACC020136,3,3,1,7,19,2,50,1,1,1,1,1,9
ACC020137,3,2,4,2,10,3,60,0,1,1,5,2,1
ACC020138,2,3,2,3,20,9,30,4,1,4,4,1,1
ACC020139,3,4,1,4,9,1,30,2,4,1,2,2,1
ACC020140,3,2,1,6,12,1,30,0,1,4,1,2,1
ACC020141,3,2,1,3,6,12,30,1,1,1,1,1,1
ACC020142,3,4,2,5,10,2,50,0,1,2,4,2,9
ACC020143,3,2,1,5,19,2,40,1,1,2,1,2,1
ACC020144,3,2,2,7,11,9,30,0,1,2,3,1,1
ACC020145,3,2,1,3,6,1,40,2,1,2,4,1,11
ACC020146,3,4,2,4,18,2,20,1,1,6,1,1,4
ACC020147,3,2,1,7,17,1,50,0,7,1,2,1,3
ACC020148,2,1,1,7,21,7,60,0,5,2,1,2,1
ACC020149,3,2,1,1,9,2,60,0,1,5,2,1,9
ACC020150,3,1,1,6,16,2,30,0,1,1,1,1,5
ACC020151,3,2,2,1,15,6,50,0,4,1,2,1,5
ACC020152,3,1,1,4,16,2,70,4,1,1,1,1,1
ACC020153,3,1,1,1,14,2,30,2,5,2,1,2,9
ACC020154,3,1,1,3,12,9,30,2,6,1,2,1,5
ACC020155,3,2,2,7,17,6,70,0,4,1,1,1,3
ACC020156,3,3,2,6,20,9,30,4,6,2,2,2,9
ACC020157,3,1,2,1,5,12,30,0,4,2,2,1,1
ACC020158,2,1,2,4,11,3,60,0,4,1,2,1,1
ACC020159,3,4,1,3,15,9,40,2,1,1,2,1,1
ACC020160,1,2,1,3,6,7,70,0,1,2,4,1,1
ACC020161,3,2,1,7,14,2,20,2,4,7,2,1,4
ACC020162,1,2,3,4,6,9,60,1,7,2,1,1,2
ACC020163,3,2,3,4,6,12,60,1,6,4,1,2,5
ACC020164,3,2,2,1,17,2,70,0,1,1,2,1,3
ACC020165,3,2,1,4,19,1,30,1,1,1,1,2,1
ACC020166,3,1,1,3,7,2,30,1,1,2,1,2,9
ACC020167,1,2,1,6,12,2,30,1,4,4,1,2,1
ACC020168,3,1,2,2,21,12,20,0,1,2,2,2,1
ACC020169,3,2,1,3,7,2,60,0,1,5,4,1,9
ACC020170,2,4,1,7,10,1,70,0,5,9,1,1,1
ACC020171,3,2,1,7,18,12,60,0,1,1,3,1,1
ACC020172,3,3,3,6,5,2,60,1,1,1,1,2,3
ACC020173,3,2,1,4,12,1,40,1,1,1,2,2,1
ACC020174,3,2,1,5,13,3,50,1,4,1,1,2,11
ACC020175,3,3,3,4,11,2,60,0,1,1,1,2,9
ACC020176,3,2,1,7,18,1,30,2,1,5,1,1,1
ACC020177,3,2,1,2,16,12,30,0,6,1,1,1,1
ACC020178,3,2,1,7,3,9,30,1,1,1,1,1,11
ACC020179,2,2,2,1,7,1,60,1,4,1,2,1,1
ACC020180,3,1,4,1,16,2,30,0,1,7,1,1,4
ACC020181,3,2,1,6,10,3,50,0,5,2,4,1,2
ACC020182,3,3,2,5,21,7,30,1,4,6,2,2,9
ACC020183,3,3,4,1,16,1,70,0,4,8,1,1,9
ACC020184,3,2,1,2,7,3,20,0,1,2,2,1,3
ACC020185,3,1,3,5,18,12,70,0,1,1,2,2,1
ACC020186,2,1,4,5,12,2,30,0,1,1,2,1,5
ACC020187,3,2,1,5,17,2,50,1,1,1,2,1,11
ACC020188,3,3,1,4,7,7,70,0,7,3,4,2,5
ACC020189,3,2,2,6,5,1,30,0,1,1,4,2,1
